Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,1.258929,1.339286,1.250000,1.330357,0.121996,45799600
1990-01-03,1.357143,1.357143,1.339286,1.339286,0.122814,51998800
1990-01-04,1.366071,1.383929,1.330357,1.343750,0.123224,55378400
1990-01-05,1.348214,1.366071,1.321429,1.348214,0.123633,30828000
1990-01-08,1.339286,1.357143,1.321429,1.357143,0.124452,25393200
1990-01-09,1.357143,1.357143,1.321429,1.343750,0.123224,21534800
1990-01-10,1.343750,1.343750,1.276786,1.285714,0.117902,49929600
1990-01-11,1.294643,1.294643,1.232143,1.232143,0.112989,52763200
1990-01-12,1.223214,1.241071,1.205357,1.232143,0.112989,42974400
1990-01-15,1.232143,1.276786,1.223214,1.223214,0.112170,40434800
1990-01-16,1.196429,1.250000,1.169643,1.245536,0.114217,53561200
1990-01-17,1.241071,1.241071,1.178571,1.187500,0.108895,49324800
1990-01-18,1.178571,1.196429,1.151786,1.156250,0.106030,68322800
1990-01-19,1.205357,1.232143,1.196429,1.223214,0.112170,66284400
1990-01-22,1.214286,1.232143,1.187500,1.187500,0.108895,36402800
1990-01-23,1.205357,1.223214,1.178571,1.205357,0.110533,35218400
1990-01-24,1.160714,1.223214,1.151786,1.214286,0.111352,42448000
1990-01-25,1.223214,1.241071,1.214286,1.218750,0.111761,27885200
1990-01-26,1.214286,1.214286,1.151786,1.169643,0.107258,45312400
1990-01-29,1.178571,1.196429,1.147321,1.187500,0.108895,29982400
1990-01-30,1.187500,1.232143,1.178571,1.214286,0.111352,29111600
1990-01-31,1.232143,1.241071,1.178571,1.214286,0.111352,35985600
1990-02-01,1.232143,1.236607,1.196429,1.200893,0.110124,29268400
1990-02-02,1.187500,1.241071,1.187500,1.223214,0.112170,29618400
1990-02-05,1.223214,1.258929,1.214286,1.250000,0.114627,25438000
1990-02-06,1.241071,1.250000,1.214286,1.241071,0.113808,18480000
1990-02-07,1.178571,1.214286,1.160714,1.187500,0.108895,78111600
1990-02-08,1.187500,1.196429,1.151786,1.178571,0.108077,46659200
1990-02-09,1.196429,1.232143,1.187500,1.223214,0.112170,42019600
1990-02-12,1.223214,1.232143,1.205357,1.214286,0.111352,18729200
1990-02-13,1.214286,1.250000,1.205357,1.232143,0.112989,25541600
1990-02-14,1.232143,1.241071,1.205357,1.223214,0.112170,24015600
1990-02-15,1.205357,1.223214,1.196429,1.223214,0.112170,24491600
1990-02-16,1.223214,1.232143,1.205357,1.205357,0.121455,31802400
1990-02-20,1.196429,1.205357,1.178571,1.196429,0.120555,30811200
1990-02-21,1.169643,1.223214,1.160714,1.214286,0.122355,43976800
1990-02-22,1.214286,1.232143,1.178571,1.178571,0.118756,48795600
1990-02-23,1.169643,1.196429,1.169643,1.187500,0.119656,37489200
1990-02-26,1.178571,1.223214,1.178571,1.214286,0.122355,19902400
1990-02-27,1.214286,1.223214,1.196429,1.196429,0.120555,18488400
1990-02-28,1.196429,1.214286,1.187500,1.214286,0.122355,27333600
1990-03-01,1.196429,1.241071,1.187500,1.223214,0.123254,50974000
1990-03-02,1.196429,1.241071,1.187500,1.205357,0.121455,26224800
